"PredID","PreyID","Diet","DetritusFate"
1,1,0,0
2,1,0,1
3,1,0,1
4,1,0,1
5,1,0,1
6,1,1,1
7,1,0.333333343267441,1
8,1,0.200000002980232,1
9,1,0.200000002980232,1
10,1,0.100000001490116,1
11,1,0,1
12,1,0,1
13,1,0,1
14,1,0,1
15,1,0,1
16,1,0,1
17,1,0,1
18,1,0,1
19,1,0,1
20,1,0,1
21,1,0,1
22,1,0,1
23,1,0,1
24,1,0,1
25,1,0,1
26,1,0,1
27,1,0,1
28,1,0,1
29,1,0,1
30,1,0,1
31,1,0,1
32,1,0,1
33,1,0,1
34,1,0,1
35,1,0,1
36,1,0,1
37,1,0,1
38,1,0,1
39,1,0,1
40,1,0,1
41,1,0,1
42,1,0,1
43,1,0,1
44,1,0,1
45,1,0,1
46,1,0,1
47,1,0,1
48,1,0,1
49,1,0,1
50,1,0,1
51,1,0,1
1,2,0,0
2,2,0,0
3,2,1,0
4,2,0.5,0
5,2,0,0
6,2,0,0
7,2,0.333333343267441,0
8,2,0,0
9,2,0,0
10,2,0,0
11,2,0,0
12,2,0,0
13,2,0,0
14,2,0,0
15,2,0,0
16,2,0,0
17,2,0,0
18,2,0,0
19,2,0,0
20,2,0,0
21,2,0,0
22,2,0,0
23,2,0,0
24,2,0,0
25,2,0,0
26,2,0,0
27,2,0,0
28,2,0,0
29,2,0,0
30,2,0,0
31,2,0,0
32,2,0.00373831763863564,0
33,2,0.00373831763863564,0
34,2,0,0
35,2,0,0
36,2,0,0
37,2,0,0
38,2,0,0
39,2,0,0
40,2,0,0
41,2,0,0
42,2,0,0
43,2,0,0
44,2,0,0
45,2,0,0
46,2,0,0
47,2,0,0
48,2,0,0
49,2,0,0
50,2,0,0
51,2,0,0
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0.5,0
5,3,0,0
6,3,0,0
7,3,0.333333343267441,0
8,3,0.300000011920929,0
9,3,0.100000001490116,0
10,3,0.200000002980232,0
11,3,0.992982923984528,0
12,3,0.608994364738464,0
13,3,0.993570983409882,0
14,3,0.556268692016602,0
15,3,0.467173278331757,0
16,3,0.744522452354431,0
17,3,0.0788643509149551,0
18,3,0.000220022004214115,0
19,3,0.475873231887817,0
20,3,0.17215259373188,0
21,3,0.327964425086975,0
22,3,0.327844977378845,0
23,3,0,0
24,3,0.476190477609634,0
25,3,0.00699300691485405,0
26,3,0,0
27,3,0,0
28,3,0,0
29,3,0,0
30,3,0.026041666045785,0
31,3,0.000135998910991475,0
32,3,0.934579432010651,0
33,3,0.934579432010651,0
34,3,0.226963236927986,0
35,3,0.00573284924030304,0
36,3,0.00491642113775015,0
37,3,0,0
38,3,0,0
39,3,0,0
40,3,0.00161943316925317,0
41,3,0.0131648229435086,0
42,3,0.00729128485545516,0
43,3,0,0
44,3,0,0
45,3,0.570906579494476,0
46,3,0,0
47,3,0,0
48,3,0,0
49,3,0,0
50,3,0,0
51,3,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0
5,4,0,0
6,4,0,0
7,4,0,0
8,4,0.200000002980232,0
9,4,0.100000001490116,0
10,4,0.100000001490116,0
11,4,0.00661988602951169,0
12,4,0.390381008386612,0
13,4,0.00584453530609608,0
14,4,0.178291261196136,0
15,4,0.186869323253632,0
16,4,0.148904487490654,0
17,4,0.835962116718292,0
18,4,0.330033004283905,0
19,4,0.14276197552681,0
20,4,6.8861038016621e-05,0
21,4,0.109321475028992,0
22,4,0.109281651675701,0
23,4,0,0
24,4,0.476190477609634,0
25,4,0.00699300691485405,0
26,4,0,0
27,4,0,0
28,4,0,0
29,4,0,0
30,4,0.0520833320915699,0
31,4,0.0679994523525238,0
32,4,0.00373831763863564,0
33,4,0.00373831763863564,0
34,4,0.0907852947711945,0
35,4,0.133766487240791,0
36,4,0.00589970499277115,0
37,4,0,0
38,4,0,0
39,4,0.00038714671973139,0
40,4,0.00242914981208742,0
41,4,0,0
42,4,0.018228217959404,0
43,4,6.66466730763204e-05,0
44,4,6.57700002193451e-05,0
45,4,0.0114181321114302,0
46,4,0.499800086021423,0
47,4,0.000150738618685864,0
48,4,0,0
49,4,0,0
50,4,0.00479660741984844,0
51,4,0,0
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,5,0,0
8,5,0.300000011920929,0
9,5,0.300000011920929,0
10,5,0.200000002980232,0
11,5,0,0
12,5,0,0
13,5,0,0
14,5,0,0
15,5,0,0
16,5,0,0
17,5,0,0
18,5,0,0
19,5,0,0
20,5,0,0
21,5,0,0
22,5,0,0
23,5,0,0
24,5,0.00952380895614624,0
25,5,0,0
26,5,0,0
27,5,0,0
28,5,0,0
29,5,0,0
30,5,0,0
31,5,0,0
32,5,0,0
33,5,0,0
34,5,0,0
35,5,0,0
36,5,0,0
37,5,0,0
38,5,0,0
39,5,0,0
40,5,0,0
41,5,0,0
42,5,0,0
43,5,0,0
44,5,0,0
45,5,0,0
46,5,0,0
47,5,0,0
48,5,0,0
49,5,0,0
50,5,0.000599575927481055,0
51,5,0,0
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0
5,6,0,0
6,6,0,0
7,6,0,0
8,6,0,0
9,6,0.100000001490116,0
10,6,0.100000001490116,0
11,6,0,0
12,6,0,0
13,6,0,0
14,6,0,0
15,6,0,0
16,6,0,0
17,6,0,0
18,6,0,0
19,6,0,0
20,6,0,0
21,6,0,0
22,6,0,0
23,6,0.00938262324780226,0
24,6,0.00952380895614624,0
25,6,0.00699300691485405,0
26,6,0.588235318660736,0
27,6,0.249875068664551,0
28,6,0.0033222590573132,0
29,6,0.00132978719193488,0
30,6,0.0364583320915699,0
31,6,0.00027199782198295,0
32,6,0.00186915881931782,0
33,6,0.00186915881931782,0
34,6,0.00136177940294147,0
35,6,0.000573284924030304,0
36,6,0,0
37,6,0,0
38,6,0,0
39,6,0,0
40,6,0,0
41,6,0,0
42,6,0,0
43,6,0,0
44,6,0,0
45,6,0,0
46,6,0,0
47,6,0.000150738618685864,0
48,6,0,0
49,6,0,0
